name,entorpy,byte_theory,byte_os,byte_encoded,ratio_theory,ratio_os
R_0_E_0_S_0_B_139.pt,0.6982396506311315,29362176,29364271,30017563,-0.0223207912111145,-0.022247853522398
R_0_E_0_S_0_B_49.pt,0.0467822114233584,29362176,29364264,30810184,-0.0493154185847806,-0.0492408050819867
R_0_E_0_S_0_B_59.pt,0.3268210458352945,29362176,29364264,30523949,-0.039566992582566,-0.0394930722595328
R_0_E_0_S_0_B_64.pt,0.6337013622395238,29362176,29364264,29689758,-0.0111565982030759,-0.0110846980533889
R_0_E_0_S_0_B_74.pt,1.0813725144006123,29362176,29364264,31206675,-0.0628188796361686,-0.0627433059449404
R_0_E_0_S_0_B_79.pt,1.182633028728861,29362176,29364264,30440872,-0.0367376041884634,-0.0366638850542959
R_0_E_0_S_0_B_84.pt,1.1036274553071008,29362176,29364264,30010660,-0.0220856928314849,-0.022013015548423
R_0_E_0_S_0_B_94.pt,1.3316069030268471,29362176,29364200,30750858,-0.0472949280053358,-0.0472227406161243
R_0_E_0_S_0_B_99.pt,1.4222682319422018,29362176,29364200,29840336,-0.0162848965962195,-0.0162148466500023
R_0_E_0_S_10_B_134.pt,0.0486432773454781,29362176,29364278,31697872,-0.0795477828346237,-0.0794705049448176
R_0_E_0_S_10_B_139.pt,1.6196690471031885,29362176,29364278,36841689,-0.2547329257886064,-0.2546431075199601
R_0_E_0_S_12_B_119.pt,0.54521468115708,29362176,29364278,29374923,-0.0004341299500418,-0.0003625152983499
R_0_E_0_S_12_B_124.pt,0.8870264837121951,29362176,29364278,39991813,-0.3620180261844354,-0.3619205280647459
R_0_E_0_S_12_B_130.pt,0.186959978155635,29381632,29383798,29449410,-0.0023068153600181,-0.002232931222846
R_0_E_0_S_12_B_140.pt,0.7780919666986909,29367296,29369270,35451276,-0.2071685455821332,-0.2070874080288682
R_0_E_0_S_14_B_139.pt,1.4831423334991605,29362176,29364278,30703731,-0.045689903909029,-0.0456150496872424
R_0_E_0_S_1_B_104.pt,1.22901450039461,29362176,29364271,30661905,-0.0442654182033375,-0.0441909148706603
R_0_E_0_S_1_B_124.pt,1.6141147855976314,29362176,29364271,30313489,-0.032399267683703,-0.0323256109439938
R_0_E_0_S_1_B_139.pt,0.4956116022826472,29362176,29364271,30364873,-0.0341492742227279,-0.0340754926284395
R_0_E_0_S_1_B_44.pt,0.316419694905471,29362176,29364264,30218010,-0.0291474991499267,-0.0290743197241381
R_0_E_0_S_1_B_49.pt,0.3412445254459451,29362176,29364264,31027692,-0.0567231801893701,-0.0566480399440626
R_0_E_0_S_1_B_59.pt,0.3444345544661008,29362176,29364264,30676926,-0.0447769947295459,-0.0447027039397275
R_0_E_0_S_1_B_64.pt,0.6293263166448803,29362176,29364264,29907532,-0.0185734190817465,-0.0185009915453695
R_0_E_0_S_1_B_74.pt,0.8548339460884252,29362176,29364264,31388189,-0.0690007784164225,-0.0689247651499114
R_0_E_0_S_1_B_79.pt,1.0639796714848615,29362176,29364264,30631971,-0.0432459433524272,-0.043171761430833
R_0_E_0_S_1_B_84.pt,1.1547886698586745,29362176,29364264,30294974,-0.031768694527272,-0.0316953287165651
R_0_E_0_S_1_B_94.pt,1.1536776413863488,29362176,29364200,31015397,-0.0563044441937818,-0.056231635801418
